89649	15.5
89651	14.5
89652	13.7
89653	20
89656	18.8
89657	9.5
89658	14.4
89659	11.3
89660	16.5
89661	18.2
89662	10.3
89663	18.4
89665	17.7
89666	14.4
89667	16.8
89668	16.3
89670	15.1
89671	4.9
89672	15.1
89673	12.7
89674	17.8
89675	19
89676	17.8
89677	16
89678	16.4
89679	20
89681	18.8
89683	14.1
89684	17.9
89686	15.6
89688	18.9
89689	15
89690	17.5
90136	15.4
90211	19.1
90222	14.2
90233	14.5
90248	13.7
90251	11.4
90267	13.7
90268	17.4
90277	14.6
90288	11.7
90294	14.6
90302	11.4
90335	10.8
90351	15.6
90355	11.5
90360	14
90921	12.6
91010	10.9
92700	8.5
94144	17.5
89693	20
